seed,scenario,bf_safe,cce_safe,matched_safety,bf_margin,cce_margin,bf_cost,cce_cost,bf_eval_count,cce_eval_count,compression_ratio,bf_latency_ms,cce_latency_ms,delta_n,delta_d,severity,risk_level,selected_k,selected_total,false_pruning_proxy
1,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,4.4169999891892076,3.3196000003954396,0.4092545932661571,0.42023469605153024,0.4123290220460616,medium,24,26,0
2,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,4.038700004457496,2.944099993328564,0.44222043292558816,0.6595235519342508,0.5030653062480137,medium,24,26,0
3,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,4.034199999296106,3.302199998870492,0.3983391148612496,0.4131245627729671,0.40247904027653053,medium,24,26,0
4,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,4.0431000088574365,2.747799997450784,0.4288961436067983,0.4137650692044508,0.42465944277414097,medium,24,26,0
5,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,3.695699997479096,2.8708000027108938,0.3973897734442819,0.4233526791619306,0.40465938704522353,medium,24,26,0
6,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,4.060799998114817,2.8946999955223873,0.4323175451495965,0.7180872723884103,0.5123330687764643,medium,24,26,0
7,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,3.9684000075794756,2.575899998191744,0.4338733484648931,0.4859731449071659,0.4484612914687295,medium,24,26,0
8,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,3.734099998837337,2.6833000010810792,0.39129994705547955,0.4121532737430229,0.3971388785279917,medium,24,26,0
9,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,3.7574000016320497,2.662300001247786,0.39940256684241204,0.42213237850190577,0.40576691410707033,medium,24,26,0
10,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,3.7349000049289316,2.6141999987885356,0.43136232476079495,0.5680827358187948,0.46964403985703485,medium,24,26,0
11,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,3.635000000940636,2.913999996962957,0.41284363642545835,0.5106496557109502,0.4402293218253961,medium,24,26,0
12,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,4.018199993879534,2.9906999989179894,0.4310260202864668,0.6482882994410023,0.4918594584497368,medium,24,26,0
13,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,4.02560000657104,2.890000003390014,0.39267751315218413,0.41057028934222173,0.39768749048539465,medium,24,26,0
14,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,4.105900006834418,2.85799999255687,0.39026285793823723,0.4062817216322462,0.39474813977255974,medium,24,26,0
15,cutin,1,1,1,1.85,1.85,8.113727714748784,8.113727714748784,121,26,4.653846153846154,4.0203999960795045,2.852699995855801,0.4496878551061607,0.626119714496811,0.49908877573554283,medium,24,26,0
16,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,4.030500000226311,2.8768000047421083,0.41456919529164943,0.544591291586003,0.4509753822540684,medium,24,26,0
17,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,4.065399989485741,2.864499998395331,0.4229207180116416,0.5439813266993185,0.45681768844419113,medium,24,26,0
18,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,4.072800002177246,3.054200002225116,0.414345412025902,0.420160864741167,0.4159737387861763,medium,24,26,0
19,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,4.044399989652447,2.95360000745859,0.4157897060245703,0.6275343846159209,0.47507821603014855,medium,24,26,0
20,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,4.074199998285621,2.6802999927895144,0.40339307740029173,0.6229439471862086,0.46486732094034844,medium,24,26,0
21,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,3.845200000796467,2.8246000001672655,0.40120480596246433,0.4174424601757732,0.40575134914219085,medium,24,26,0
22,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,3.6552999954437837,2.6304000057280064,0.4062958291898088,0.5231231879917819,0.43900748965436126,medium,24,26,0
23,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,3.6106000043218955,2.880499989259988,0.4417073465300061,0.6573545327525023,0.5020885586723051,medium,24,26,0
24,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,3.7543000071309507,2.6381000061519444,0.3966977943873654,0.4249739669981729,0.4046151227183915,medium,24,26,0
25,cutin,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,3.6478999973041937,2.662300001247786,0.4209274946499885,0.5324669846954897,0.45215855186272885,medium,24,26,0
