seed,scenario,bf_safe,cce_safe,matched_safety,bf_margin,cce_margin,bf_cost,cce_cost,bf_eval_count,cce_eval_count,compression_ratio,bf_latency_ms,cce_latency_ms,delta_n,delta_d,severity,risk_level,selected_k,selected_total,false_pruning_proxy
11,ice_trap,0,0,1,0.0,0.0,15050.028,15050.028,121,20,6.05,3.6477000103332102,2.437499992083758,0.8782343219338618,0.9460169464661715,0.8972134568029085,critical,20,20,0
12,ice_trap,0,0,1,0.0,0.0,15050.028,15050.028,121,20,6.05,4.012899997178465,2.588100003777072,0.7573222485474013,0.9955181370205642,0.8240170973198869,critical,20,20,0
13,ice_trap,0,0,1,0.0,0.0,15050.028,15050.028,121,20,6.05,3.409500000998378,2.262000009068288,0.8783178182323867,0.9269015039245945,0.8919212502262048,critical,20,20,0
14,ice_trap,0,0,1,0.0,0.0,15050.028,15050.028,121,26,4.653846153846154,3.525899999658577,2.4695000029169023,0.5396297688166631,0.41282695411809667,0.5041249807010646,medium,24,26,0
15,ice_trap,0,0,1,0.0,0.0,15050.028,15050.028,121,26,4.653846153846154,4.546199998003431,2.5993999879574403,0.5509723038067091,0.42137105085944915,0.5146839529814764,medium,24,26,0
16,ice_trap,0,0,1,0.0,0.0,15050.028,15050.028,121,20,6.05,3.551900008460507,2.3828999983379617,0.7454282726666135,0.9994499460551965,0.8165543412154168,critical,20,20,0
17,ice_trap,1,1,1,0.36611260777176247,0.36611260777176247,40.95939758660005,40.95939758660005,121,26,4.653846153846154,3.5472000017762184,2.9827999969711527,0.5655757728173602,0.4211176356230645,0.5251274944029574,medium,24,26,0
18,ice_trap,0,0,1,0.0,0.0,15050.028,15050.028,121,25,4.84,3.5241999867139384,2.4917999980971217,0.5845182218925287,0.4341798949118454,0.5424234903379374,medium,23,25,0
19,ice_trap,1,1,1,0.23354278988020027,0.23354278988020027,63.964214954387195,63.964214954387195,121,20,6.05,3.540999998222105,2.3560999979963526,0.8161197401924493,0.9446844444742019,0.8521178573913399,critical,20,20,0
20,ice_trap,0,0,1,0.0,0.0,15050.028,15050.028,121,26,4.653846153846154,3.6411000037332997,2.6338000025134534,0.5499506634126097,0.4388060159567044,0.5188301621249561,medium,24,26,0
21,ice_trap,1,1,1,0.37586822585729474,0.37586822585729474,39.80171044103865,39.80171044103865,121,26,4.653846153846154,3.5850999993272126,2.5560000067343935,0.5349311410604056,0.41520565706100576,0.5014080055405736,medium,24,26,0
22,ice_trap,0,0,1,0.0,0.0,15050.028,15050.028,121,25,4.84,3.569799999240786,3.961499998695217,0.5918053318894079,0.4281160810140803,0.5459723416443162,medium,23,25,0
23,ice_trap,1,1,1,0.029952605738436944,0.029952605738436944,484.6718652095581,484.6718652095581,121,23,5.260869565217392,3.671600003144704,2.503900002921,0.6398172620963163,0.5495256083220532,0.6145355990395226,high,23,23,0
24,ice_trap,0,0,1,0.0,0.0,15050.056,15250.116,121,20,6.05,3.324399993289262,2.4238000041805208,0.9002298621737106,0.9417944918963661,0.9118679584960542,critical,20,20,0
25,ice_trap,0,0,1,0.0,0.0,15050.056,15250.116,121,20,6.05,3.4130999993067235,2.5209000014001504,0.9171990084992094,0.9378068344978534,0.9229691997788297,critical,20,20,0
26,ice_trap,0,0,1,0.0,0.0,15050.028,15050.028,121,26,4.653846153846154,3.526800006511621,2.470099992933683,0.5591747978707701,0.4233963898183792,0.5211568436161006,medium,24,26,0
27,ice_trap,0,0,1,0.0,0.0,15050.028,15050.028,121,20,6.05,3.591699991375208,2.3440000077243894,0.7251124458926781,0.96472163232511,0.7922030180937589,critical,20,20,0
28,ice_trap,1,0,0,0.03776760555970382,0.0,387.0209816659773,15050.028,121,25,4.84,3.489900002023205,2.3687000066274777,0.5997281555650149,0.4313723184954342,0.5525885211855323,medium,23,25,1
29,ice_trap,0,0,1,0.0,0.0,15050.028,15050.028,121,23,5.260869565217392,3.5702999884961173,2.3922999971546233,0.6490334650009328,0.5328294959725349,0.6164963536729815,high,23,23,0
30,ice_trap,0,0,1,0.0,0.0,15050.028,15050.028,121,23,5.260869565217392,3.7372999940998852,2.657699995324947,0.6511680649484807,0.4298411241088677,0.5891965215133891,high,23,23,0
